Date,Michaels Stores
2011-09-10,57
2011-09-11,57
2011-09-12,59
2011-09-13,60
2011-09-14,60
2011-09-15,61
2011-09-16,62
2011-09-17,63
2011-09-18,62
2011-09-19,61
2011-09-20,60
2011-09-21,59
2011-09-22,58
2011-09-23,57
2011-09-24,57
2011-09-25,57
2011-09-26,58
2011-09-27,59
2011-09-28,59
2011-09-29,60
2011-09-30,61
2011-10-01,62
2011-10-02,62
2011-10-03,63
2011-10-04,63
2011-10-05,64
2011-10-06,64
2011-10-07,65
2011-10-08,66
2011-10-09,66
2011-10-10,67
2011-10-11,68
2011-10-12,68
2011-10-13,69
2011-10-14,70
2011-10-15,71
2011-10-16,73
2011-10-17,75
2011-10-18,77
2011-10-19,79
2011-10-20,81
2011-10-21,83
2011-10-22,85
2011-10-23,87
2011-10-24,89
2011-10-25,91
2011-10-26,93
2011-10-27,95
2011-10-28,98
2011-10-29,100
2011-10-30,96
2011-10-31,92
2011-11-01,88
2011-11-02,84
2011-11-03,80
2011-11-04,76
2011-11-05,72
2011-11-06,72
2011-11-07,72
2011-11-08,72
2011-11-09,72
2011-11-10,72
2011-11-11,72
2011-11-12,72
2011-11-13,72
2011-11-14,72
2011-11-15,72
2011-11-16,72
2011-11-17,72
2011-11-18,72
2011-11-19,73
2011-11-20,73
2011-11-21,73
2011-11-22,73
2011-11-23,73
2011-11-24,73
2011-11-25,73
2011-11-26,74
2011-11-27,74
2011-12-04,72
2011-12-05,69
2011-12-06,66
2011-12-07,62
2011-12-08,59
2011-12-09,56
2011-12-10,53
2011-12-11,53
2011-12-12,66
2011-12-13,53
2011-12-14,53
2011-12-15,53
2011-12-16,53
2011-12-17,53
2011-12-18,53
2011-12-19,53
2011-12-20,53
2011-12-21,53
2011-12-22,53
2011-12-23,53
2011-12-24,53
2011-12-25,53
2011-12-26,53
2011-12-27,53
2011-12-28,53
2011-12-29,53
2011-12-30,53
2011-12-31,54
2012-01-01,54
2012-01-02,54
2012-01-03,54
2012-01-04,54
2012-01-05,54
2012-01-06,54
2012-01-07,54
2012-01-08,55
2012-01-09,56
2012-01-10,57
2012-01-11,58
2012-01-12,59
2012-01-13,60
2012-01-14,61
2012-01-15,60
2012-01-16,59
2012-01-17,58
2012-01-18,57
2012-01-19,56
2012-01-20,55
2012-01-21,55
2012-01-22,55
2012-01-23,56
2012-01-24,56
2012-01-25,57
2012-01-26,57
2012-01-27,58
2012-01-28,59
2012-01-29,59
2012-01-30,60
2012-01-31,60
2012-02-01,61
2012-02-02,61
2012-02-03,62
2012-02-04,63
2012-02-05,63
2012-02-06,64
2012-02-07,64
2012-02-08,65
2012-02-09,65
2012-02-10,66
2012-02-11,67
2012-02-12,67
2012-02-13,68
2012-02-14,68
2012-02-15,69
2012-02-16,69
2012-02-17,70
2012-02-18,71
2012-02-19,71
2012-02-20,72
2012-02-21,73
2012-02-22,73
2012-02-23,74
2012-02-24,75
2012-02-25,75
2012-02-26,64
2012-03-04,0
2012-03-05,0
2012-03-06,0
2012-03-07,0
2012-03-08,0
2012-03-09,0
2012-03-10,0
2012-03-11,0
2012-03-12,0
2012-03-13,0
2012-03-14,0
2012-03-15,0
2012-03-16,0
2012-03-17,0
2012-03-18,0
2012-03-19,0
2012-03-20,0
2012-03-21,0
2012-03-22,0
2012-03-23,0
2012-03-24,0
2012-03-25,0
2012-03-26,0
2012-03-27,0
2012-03-28,0
2012-03-29,0
2012-03-30,0
2012-03-31,0
2012-04-01,8
2012-04-02,17
2012-04-03,26
2012-04-04,35
2012-04-05,44
2012-04-06,53
2012-04-07,62
2012-04-08,61
2012-04-09,58
2012-04-10,56
2012-04-11,54
2012-04-12,52
2012-04-13,50
2012-04-14,49
2012-04-15,49
2012-04-16,49
2012-04-17,49
2012-04-18,49
2012-04-19,49
2012-04-20,49
2012-04-21,49
2012-04-22,49
2012-04-23,50
2012-04-24,51
2012-04-25,51
2012-04-26,52
2012-04-27,53
2012-04-28,54
2012-04-29,54
2012-04-30,56
2012-05-01,56
2012-05-02,57
2012-05-03,58
2012-05-04,59
2012-05-05,60
2012-05-06,60
2012-05-07,60
2012-05-08,61
2012-05-09,61
2012-05-10,62
2012-05-11,62
2012-05-12,63
2012-05-13,61
2012-05-14,60
2012-05-15,59
2012-05-16,58
2012-05-17,56
2012-05-18,55
2012-05-19,54
2012-05-20,53
2012-05-21,53
2012-05-22,53
2012-05-23,52
2012-05-24,52
2012-05-25,52
2012-05-26,53
2012-05-27,48
2012-06-03,48
2012-06-04,48
2012-06-05,48
2012-06-06,48
2012-06-07,48
2012-06-08,48
2012-06-09,48
2012-06-10,48
2012-06-11,50
2012-06-12,48
2012-06-13,48
2012-06-14,48
2012-06-15,48
2012-06-16,49
2012-06-17,49
2012-06-18,50
2012-06-19,50
2012-06-20,50
2012-06-21,51
2012-06-22,52
2012-06-23,54
2012-06-24,49
2012-06-25,49
2012-06-26,49
2012-06-27,49
2012-06-28,49
2012-06-29,49
2012-06-30,50
2012-07-01,50
2012-07-02,50
2012-07-03,50
2012-07-04,51
2012-07-05,51
2012-07-06,51
2012-07-07,52
2012-07-08,52
2012-07-09,52
2012-07-10,52
2012-07-11,52
2012-07-12,52
2012-07-13,52
2012-07-14,53
2012-07-15,53
2012-07-16,53
2012-07-17,53
2012-07-18,53
2012-07-19,53
2012-07-20,53
2012-07-21,54
2012-07-22,54
2012-07-23,54
2012-07-24,54
2012-07-25,54
2012-07-26,54
2012-07-27,54
2012-07-28,55
2012-07-29,54
2012-07-30,53
2012-07-31,52
2012-08-01,52
2012-08-02,51
2012-08-03,50
2012-08-04,50
2012-08-05,50
2012-08-06,50
2012-08-07,50
2012-08-08,50
2012-08-09,50
2012-08-10,50
2012-08-11,50
2012-08-12,49
2012-08-13,50
2012-08-14,50
2012-08-15,50
2012-08-16,51
2012-08-17,51
2012-08-18,53
2012-08-19,48
2012-08-20,48
2012-08-21,48
2012-08-22,48
2012-08-23,48
2012-08-24,48
2012-08-25,48
2012-08-26,48
2012-09-02,51
2012-09-03,55
2012-09-04,58
2012-09-05,62
2012-09-06,65
2012-09-07,68
2012-09-08,72
2012-09-09,72
2012-09-10,71
2012-09-11,71
2012-09-12,71
2012-09-13,71
2012-09-14,70
2012-09-15,70
2012-09-16,69
2012-09-17,67
2012-09-18,65
2012-09-19,64
2012-09-20,62
2012-09-21,61
2012-09-22,60
2012-09-23,60
2012-09-24,60
2012-09-25,60
2012-09-26,60
2012-09-27,60
2012-09-28,60
2012-09-29,60
2012-09-30,58
2012-10-01,57
2012-10-02,56
2012-10-03,54
2012-10-04,53
2012-10-05,51
2012-10-06,50
2012-10-07,51
2012-10-08,52
2012-10-09,53
2012-10-10,55
2012-10-11,56
2012-10-12,57
2012-10-13,59
2012-10-14,60
2012-10-15,61
2012-10-16,62
2012-10-17,63
2012-10-18,64
2012-10-19,66
2012-10-20,67
2012-10-21,66
2012-10-22,65
2012-10-23,64
2012-10-24,64
2012-10-25,63
2012-10-26,62
2012-10-27,62
2012-10-28,60
2012-10-29,58
2012-10-30,56
2012-10-31,54
2012-11-01,52
2012-11-02,50
2012-11-03,49
2012-11-04,49
2012-11-05,49
2012-11-06,49
2012-11-07,49
2012-11-08,49
2012-11-09,49
2012-11-10,49
2012-11-11,49
2012-11-12,50
2012-11-13,50
2012-11-14,51
2012-11-15,51
2012-11-16,52
2012-11-17,53
2012-11-18,55
2012-11-19,58
2012-11-20,61
2012-11-21,63
2012-11-22,66
2012-11-23,69
2012-11-24,71
2012-11-25,70
2012-12-02,60
2012-12-03,60
2012-12-04,60
2012-12-05,60
2012-12-06,60
2012-12-07,60
2012-12-08,60
2012-12-09,60
2012-12-10,60
2012-12-11,60
2012-12-12,60
2012-12-13,60
2012-12-14,60
2012-12-15,60
2012-12-16,60
2012-12-17,60
2012-12-18,60
2012-12-19,61
2012-12-20,61
2012-12-21,61
2012-12-22,62
2012-12-23,62
2012-12-24,62
2012-12-25,63
2012-12-26,63
2012-12-27,63
2012-12-28,63
2012-12-29,63
2012-12-30,61
2012-12-31,58
2013-01-01,55
2013-01-02,53
2013-01-03,50
2013-01-04,48
2013-01-05,46
2013-01-06,45
2013-01-07,44
2013-01-08,43
2013-01-09,43
2013-01-10,42
2013-01-11,41
2013-01-12,41
2013-01-13,41
2013-01-14,41
2013-01-15,41
2013-01-16,41
2013-01-17,41
2013-01-18,41
2013-01-19,41
2013-01-20,41
2013-01-21,42
2013-01-22,42
2013-01-23,43
2013-01-24,44
2013-01-25,44
2013-01-26,45
2013-01-27,44
2013-01-28,43
2013-01-29,42
2013-01-30,42
2013-01-31,41
2013-02-01,40
2013-02-02,40
2013-02-03,41
2013-02-04,42
2013-02-05,43
2013-02-06,45
2013-02-07,46
2013-02-08,47
2013-02-09,49
2013-02-10,50
2013-02-11,51
2013-02-12,52
2013-02-13,54
2013-02-14,55
2013-02-15,56
2013-02-16,57
2013-02-17,57
2013-02-18,57
2013-02-19,57
2013-02-20,58
2013-02-21,58
2013-02-22,58
2013-02-23,59
2013-02-24,56
2013-03-03,40
2013-03-04,41
2013-03-05,42
2013-03-06,43
2013-03-07,44
2013-03-08,45
2013-03-09,47
2013-03-10,48
2013-03-11,49
2013-03-12,50
2013-03-13,52
2013-03-14,53
2013-03-15,54
2013-03-16,55
2013-03-17,53
2013-03-18,51
2013-03-19,49
2013-03-20,48
2013-03-21,46
2013-03-22,44
2013-03-23,43
2013-03-24,44
2013-03-25,45
2013-03-26,47
2013-03-27,48
2013-03-28,50
2013-03-29,51
2013-03-30,53
2013-03-31,55
2013-04-01,57
2013-04-02,59
2013-04-03,61
2013-04-04,63
2013-04-05,65
2013-04-06,68
2013-04-07,64
2013-04-08,60
2013-04-09,57
2013-04-10,53
2013-04-11,50
2013-04-12,46
2013-04-13,43
2013-04-14,43
2013-04-15,44
2013-04-16,44
2013-04-17,45
2013-04-18,46
2013-04-19,46
2013-04-20,47
2013-04-21,48
2013-04-22,49
2013-04-23,50
2013-04-24,52
2013-04-25,53
2013-04-26,54
2013-04-27,56
2013-04-28,55
2013-04-29,54
2013-04-30,54
2013-05-01,53
2013-05-02,53
2013-05-03,52
2013-05-04,52
2013-05-05,53
2013-05-06,55
2013-05-07,56
2013-05-08,58
2013-05-09,59
2013-05-10,61
2013-05-11,63
2013-05-12,64
2013-05-13,66
2013-05-14,68
2013-05-15,70
2013-05-16,72
2013-05-17,74
2013-05-18,75
2013-05-19,71
2013-05-20,67
2013-05-21,63
2013-05-22,59
2013-05-23,55
2013-05-24,51
2013-05-25,47
2013-05-26,47
2013-06-02,52
2013-06-03,53
2013-06-04,54
2013-06-05,55
2013-06-06,56
2013-06-07,57
2013-06-08,59
2013-06-09,59
2013-06-10,59
2013-06-11,59
2013-06-12,59
2013-06-13,59
2013-06-14,60
2013-06-15,60
2013-06-16,57
2013-06-17,54
2013-06-18,51
2013-06-19,49
2013-06-20,46
2013-06-21,43
2013-06-22,41
2013-06-23,41
2013-06-24,41
2013-06-25,41
2013-06-26,41
2013-06-27,41
2013-06-28,41
2013-06-29,41
2013-06-30,41
2013-07-01,41
2013-07-02,41
2013-07-03,41
2013-07-04,41
2013-07-05,41
2013-07-06,41
2013-07-07,41
2013-07-08,41
2013-07-09,41
2013-07-10,41
2013-07-11,41
2013-07-12,41
2013-07-13,41
2013-07-14,41
2013-07-15,41
2013-07-16,41
2013-07-17,41
2013-07-18,41
2013-07-19,41
2013-07-20,41
2013-07-21,40
2013-07-22,40
2013-07-23,40
2013-07-24,40
2013-07-25,40
2013-07-26,40
2013-07-27,40
2013-07-28,41
2013-07-29,42
2013-07-30,43
2013-07-31,44
2013-08-01,45
2013-08-02,46
2013-08-03,47
2013-08-04,46
2013-08-05,45
2013-08-06,44
2013-08-07,43
2013-08-08,42
2013-08-09,41
2013-08-10,41
2013-08-11,41
2013-08-12,41
2013-08-13,41
2013-08-14,41
2013-08-15,41
2013-08-16,41
2013-08-17,41
2013-08-18,42
2013-08-19,43
2013-08-20,44
2013-08-21,46
2013-08-22,47
2013-08-23,48
2013-08-24,50
2013-08-25,51
