Date,Bank of America Corporation,Financial Services company,BofA Merrill Lynch
2004-01-04,77
2004-01-11,71
2004-01-18,76
2004-01-25,68
2004-02-01,69
2004-02-08,70
2004-02-15,70
2004-02-22,68
2004-02-29,75
2004-03-07,71
2004-03-14,72
2004-03-21,67
2004-03-28,74
2004-04-04,80
2004-04-11,78
2004-04-18,74
2004-04-25,72
2004-05-02,77
2004-05-09,75
2004-05-16,77
2004-05-23,75
2004-05-30,77
2004-06-06,81
2004-06-13,83
2004-06-20,80
2004-06-27,85
2004-07-04,81
2004-07-11,91
2004-07-18,87
2004-07-25,87
2004-08-01,95
2004-08-08,91
2004-08-15,89
2004-08-22,90
2004-08-29,90
2004-09-05,82
2004-09-12,84
2004-09-19,83
2004-09-26,83
2004-10-03,85
2004-10-10,83
2004-10-17,85
2004-10-24,80
2004-10-31,86
2004-11-07,81
2004-11-14,84
2004-11-21,72
2004-11-28,87
2004-12-05,90
2004-12-12,91
2004-12-19,92
2004-12-26,100
2005-01-02,72
2005-01-09,68
2005-01-16,64
2005-01-23,65
2005-01-30,73
2005-02-06,72
2005-02-13,70
2005-02-20,69
2005-02-27,76
2005-03-06,69
2005-03-13,71
2005-03-20,70
2005-03-27,72
2005-04-03,69
2005-04-10,73
2005-04-17,70
2005-04-24,74
2005-05-01,75
2005-05-08,74
2005-05-15,74
2005-05-22,79
2005-05-29,73
2005-06-05,74
2005-06-12,82
2005-06-19,87
2005-06-26,98
2005-07-03,82
2005-07-10,93
2005-07-17,88
2005-07-24,90
2005-07-31,94
2005-08-07,99
2005-08-14,93
2005-08-21,89
2005-08-28,95
2005-09-04,85
2005-09-11,86
2005-09-18,83
2005-09-25,87
2005-10-02,91
2005-10-09,85
2005-10-16,83
2005-10-23,82
2005-10-30,89
2005-11-06,82
2005-11-13,87
2005-11-20,73
2005-11-27,91
2005-12-04,88
2005-12-11,88
2005-12-18,92
2005-12-25,100
2006-01-01,79
2006-01-08,73
2006-01-15,75
2006-01-22,72
2006-01-29,78
2006-02-05,73
2006-02-12,76
2006-02-19,71
2006-02-26,78
2006-03-05,73
2006-03-12,73
2006-03-19,72
2006-03-26,73
2006-04-02,75
2006-04-09,78
2006-04-16,78
2006-04-23,74
2006-04-30,79
2006-05-07,75
2006-05-14,75
2006-05-21,74
2006-05-28,76
2006-06-04,80
2006-06-11,80
2006-06-18,78
2006-06-25,84
2006-07-02,80
2006-07-09,86
2006-07-16,86
2006-07-23,88
2006-07-30,91
2006-08-06,89
2006-08-13,91
2006-08-20,83
2006-08-27,83
2006-09-03,80
2006-09-10,80
2006-09-17,79
2006-09-24,81
2006-10-01,89
2006-10-08,83
2006-10-15,80
2006-10-22,84
2006-10-29,89
2006-11-05,83
2006-11-12,86
2006-11-19,74
2006-11-26,88
2006-12-03,89
2006-12-10,90
2006-12-17,95
2006-12-24,98
2006-12-31,100
2007-01-07,87
2007-01-14,83
2007-01-21,84
2007-01-28,87
2007-02-04,88
2007-02-11,91
2007-02-18,87
2007-02-25,89
2007-03-04,87
2007-03-11,84
2007-03-18,81
2007-03-25,87
2007-04-01,100
2007-04-08,91
2007-04-15,85
2007-04-22,88
2007-04-29,93
2007-05-06,86
2007-05-13,86
2007-05-20,85
2007-05-27,83
2007-06-03,89
2007-06-10,87
2007-06-17,84
2007-06-24,89
2007-07-01,89
2007-07-08,95
2007-07-15,94
2007-07-22,94
2007-07-29,98
2007-08-05,96
2007-08-12,96
2007-08-19,98
2007-08-26,92
2007-09-02,89
2007-09-09,91
2007-09-16,90
2007-09-23,87
2007-09-30,89
2007-10-07,88
2007-10-14,86
2007-10-21,81
2007-10-28,89
2007-11-04,84
2007-11-11,84
2007-11-18,74
2007-11-25,90
2007-12-02,89
2007-12-09,90
2007-12-16,92
2007-12-23,92
2007-12-30,98
2008-01-06,78
2008-01-13,78
2008-01-20,75
2008-01-27,80
2008-02-03,80
2008-02-10,76
2008-02-17,76
2008-02-24,78
2008-03-02,80
2008-03-09,78
2008-03-16,79
2008-03-23,75
2008-03-30,82
2008-04-06,79
2008-04-13,79
2008-04-20,77
2008-04-27,91
2008-05-04,88
2008-05-11,83
2008-05-18,78
2008-05-25,77
2008-06-01,81
2008-06-08,78
2008-06-15,77
2008-06-22,84
2008-06-29,83
2008-07-06,88
2008-07-13,90
2008-07-20,86
2008-07-27,89
2008-08-03,89
2008-08-10,92
2008-08-17,85
2008-08-24,87
2008-08-31,83
2008-09-07,87
2008-09-14,100
2008-09-21,95
2008-09-28,93
2008-10-05,86
2008-10-12,83
2008-10-19,79
2008-10-26,79
2008-11-02,80
2008-11-09,79
2008-11-16,80
2008-11-23,71
2008-11-30,86
2008-12-07,85
2008-12-14,83
2008-12-21,80
2008-12-28,91
2009-01-04,92
2009-01-11,92
2009-01-18,91
2009-01-25,93
2009-02-01,93
2009-02-08,90
2009-02-15,89
2009-02-22,92
2009-03-01,94
2009-03-08,89
2009-03-15,95
2009-03-22,88
2009-03-29,94
2009-04-05,93
2009-04-12,94
2009-04-19,85
2009-04-26,88
2009-05-03,88
2009-05-10,88
2009-05-17,86
2009-05-24,78
2009-05-31,83
2009-06-07,84
2009-06-14,94
2009-06-21,88
2009-06-28,92
2009-07-05,90
2009-07-12,93
2009-07-19,94
2009-07-26,100
2009-08-02,98
2009-08-09,96
2009-08-16,97
2009-08-23,93
2009-08-30,100
2009-09-06,87
2009-09-13,95
2009-09-20,89
2009-09-27,93
2009-10-04,87
2009-10-11,89
2009-10-18,85
2009-10-25,83
2009-11-01,85
2009-11-08,82
2009-11-15,84
2009-11-22,74
2009-11-29,92
2009-12-06,83
2009-12-13,89
2009-12-20,82
2009-12-27,94
2010-01-03,93
2010-01-10,89
2010-01-17,88
2010-01-24,100
2010-01-31,91
2010-02-07,86
2010-02-14,87
2010-02-21,83
2010-02-28,88
2010-03-07,84
2010-03-14,81
2010-03-21,83
2010-03-28,91
2010-04-04,87
2010-04-11,89
2010-04-18,80
2010-04-25,84
2010-05-02,86
2010-05-09,85
2010-05-16,79
2010-05-23,75
2010-05-30,80
2010-06-06,79
2010-06-13,77
2010-06-20,77
2010-06-27,85
2010-07-04,82
2010-07-11,87
2010-07-18,84
2010-07-25,86
2010-08-01,91
2010-08-08,88
2010-08-15,93
2010-08-22,87
2010-08-29,85
2010-09-05,82
2010-09-12,92
2010-09-19,87
2010-09-26,87
2010-10-03,89
2010-10-10,85
2010-10-17,87
2010-10-24,89
2010-10-31,92
2010-11-07,89
2010-11-14,89
2010-11-21,80
2010-11-28,93
2010-12-05,93
2010-12-12,92
2010-12-19,92
2010-12-26,99
2011-01-02,86
2011-01-09,83
2011-01-16,73
2011-01-23,75
2011-01-30,81
2011-02-06,75
2011-02-13,76
2011-02-20,75
2011-02-27,100
2011-03-06,74
2011-03-13,70
2011-03-20,68
2011-03-27,73
2011-04-03,75
2011-04-10,79
2011-04-17,80
2011-04-24,76
2011-05-01,78
2011-05-08,78
2011-05-15,74
2011-05-22,75
2011-05-29,82
2011-06-05,79
2011-06-12,84
2011-06-19,80
2011-06-26,84
2011-07-03,81
2011-07-10,85
2011-07-17,85
2011-07-24,85
2011-07-31,90
2011-08-07,92
2011-08-14,89
2011-08-21,84
2011-08-28,88
2011-09-04,81
2011-09-11,83
2011-09-18,79
2011-09-25,91
2011-10-02,91
2011-10-09,76
2011-10-16,81
2011-10-23,79
2011-10-30,88
2011-11-06,78
2011-11-13,80
2011-11-20,71
2011-11-27,81
2011-12-04,79
2011-12-11,80
2011-12-18,77
2011-12-25,80
2012-01-01,99
2012-01-08,99
2012-01-15,90
2012-01-22,89
2012-01-29,95
2012-02-05,89
2012-02-12,91
2012-02-19,89
2012-02-26,90
2012-03-04,89
2012-03-11,88
2012-03-18,86
2012-03-25,86
2012-04-01,87
2012-04-08,84
2012-04-15,83
2012-04-22,84
2012-04-29,88
2012-05-06,79
2012-05-13,84
2012-05-20,82
2012-05-27,83
2012-06-03,84
2012-06-10,85
2012-06-17,84
2012-06-24,88
2012-07-01,90
2012-07-08,92
2012-07-15,96
2012-07-22,90
2012-07-29,97
2012-08-05,94
2012-08-12,97
2012-08-19,92
2012-08-26,95
2012-09-02,96
2012-09-09,90
2012-09-16,100
2012-09-23,90
2012-09-30,94
2012-10-07,93
2012-10-14,85
2012-10-21,82
2012-10-28,87
2012-11-04,88
2012-11-11,86
2012-11-18,79
2012-11-25,93
2012-12-02,90
2012-12-09,98
2012-12-16,89
2012-12-23,85
2012-12-30,96
2013-01-06,92
2013-01-13,92
2013-01-20,85
2013-01-27,100
2013-02-03,93
2013-02-10,90
2013-02-17,88
2013-02-24,95
2013-03-03,91
2013-03-10,88
2013-03-17,85
2013-03-24,87
2013-03-31,90
2013-04-07,87
2013-04-14,86
2013-04-21,80
2013-04-28,92
2013-05-05,86
2013-05-12,84
2013-05-19,82
2013-05-26,82
2013-06-02,89
2013-06-09,84
2013-06-16,83
2013-06-23,85
2013-06-30,87
2013-07-07,90
2013-07-14,91
2013-07-21,84
2013-07-28,93
2013-08-04,88
2013-08-11,89
2013-08-18,86
2013-08-25,85
2013-09-01,84
2013-09-08,79
2013-09-15,80
2013-09-22,77
2013-09-29,84
2013-10-06,77
2013-10-13,80
2013-10-20,73
2013-10-27,79
2013-11-03,78
2013-11-10,77
2013-11-17,73
2013-11-24,68
2013-12-01,85
2013-12-08,78
2013-12-15,84
2013-12-22,78
2013-12-29,74
